ID,TITULO,INFOS,VALOR,LOCAL,DATA_ANUNCIO,LINK,DATA_COLETA_METADADOS
1024549891,Land Rover Range Sport HSE 5P,62.700 km  |  Câmbio: Automático  |  Diesel  |  ,R$ 529.900,Uberlândia -  MG,"Hoje, 11:32",https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/autos-e-pecas/carros-vans-e-utilitarios/land-rover-range-sport-hse-5p-1024549891,2022-06-23
1048736017,VOLKSWAGEN NIVUS HIGHLINE 2021 ,0 km  |  Câmbio: Automático  |  Flex  |  ,R$ 0,Sorocaba -  SP,"Hoje, 11:32",https://sp.olx.com.br/regiao-de-sorocaba/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-nivus-highline-2021-1048736017,2022-06-23
1048736012,Volkswagen Nivus Highline 2021 C/ 17.000 Km,17.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 127.900,Itajaí -  SC,"Hoje, 11:32",https://sc.olx.com.br/norte-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-nivus-highline-2021-c-17-000-km-1048736012,2022-06-23
1048736005,Fiesta Sedan 2009/10,191.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 20.500,Aparecida de Goiânia -  GO,"Hoje, 11:32",https://go.olx.com.br/grande-goiania-e-anapolis/autos-e-pecas/carros-vans-e-utilitarios/fiesta-sedan-2009-10-1048736005,2022-06-23
1011937426,Citroen C3 Picasso Glx M 2012,126.523 km  |  Câmbio: Manual  |  Flex  |  ,R$ 34.900,Curitiba -  PR,"Hoje, 11:32",https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/autos-e-pecas/carros-vans-e-utilitarios/citroen-c3-picasso-glx-m-2012-1011937426,2022-06-23
1040186400, Kwid Zen 1.0  2018 ** ideal para aplicativos*,60.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 140.000,Erechim -  RS,"Hoje, 11:32",https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/jetta-rline-2019-teto-solar-1-4-turbo-150-cv-preto-mystic-1040186400,2022-06-23
1037613739,Spin 1.8L Mt Lt 2014  ,2.600 km  |  Câmbio: Automático  |  Flex  |  ,R$ 155.000,Maceió -  AL,"Hoje, 11:32",https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/corolla-gr-sport-2022-3-200km-1037613739,2022-06-23
1046045416,HYUNDAI HB20 1.0M 1.0 M 2014,50.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 65.000,Bauru -  SP,"Hoje, 11:32",https://sp.olx.com.br/regiao-de-bauru-e-marilia/autos-e-pecas/carros-vans-e-utilitarios/vendo-toyota-etios-2020-segundo-dono-1046045416,2022-06-23
967979587, Oroch Dyn Automatica ** Entrada + 1799 ,63.083 km  |  Câmbio: Manual  |  Flex  |  ,R$ 41.900,Curitiba -  PR,"Hoje, 11:32",https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/autos-e-pecas/carros-vans-e-utilitarios/kwid-zen-1-0-2018-ideal-para-aplicativos-967979587,2022-06-23
1011651856,Citroen C4 Lounge Tendance 2.0 ,113.734 km  |  Câmbio: Manual  |  Flex  |  ,R$ 48.900,Curitiba -  PR,"Hoje, 11:32",https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/autos-e-pecas/carros-vans-e-utilitarios/spin-1-8l-mt-lt-2014-1011651856,2022-06-23
